"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.12.2023","13.803,59","13.756,28","13.806,39","13.724,83","","0,34%"
"27.12.2023","13.756,28","13.710,67","13.775,54","13.662,31","","0,33%"
"26.12.2023","13.710,67","13.604,01","13.731,53","13.599,49","","0,78%"
"22.12.2023","13.604,01","13.508,82","13.655,96","13.474,94","","0,75%"
"21.12.2023","13.502,46","13.423,47","13.528,23","13.422,30","","0,59%"
"20.12.2023","13.423,45","13.609,44","13.620,54","13.415,43","","-1,37%"
"19.12.2023","13.609,44","13.586,74","13.710,01","13.552,97","","0,17%"
"18.12.2023","13.586,74","13.516,17","13.626,58","13.470,08","","0,52%"
"15.12.2023","13.516,17","13.481,32","13.540,94","13.387,96","","0,26%"
"14.12.2023","13.481,30","13.284,83","13.544,79","13.284,83","","1,48%"
"13.12.2023","13.284,85","12.898,99","13.336,85","12.859,85","","2,99%"
"12.12.2023","12.899,16","13.000,76","13.053,23","12.878,34","","-0,78%"
"11.12.2023","13.000,70","12.990,75","13.019,12","12.915,70","","0,08%"
"08.12.2023","12.990,82","12.831,13","13.035,57","12.776,62","","1,24%"
"07.12.2023","12.832,22","12.749,46","12.850,02","12.741,91","","0,65%"
"06.12.2023","12.749,46","12.924,76","12.987,21","12.743,07","","-1,36%"
"05.12.2023","12.924,76","12.869,84","12.970,38","12.833,13","","0,43%"
"04.12.2023","12.869,70","12.894,76","12.960,38","12.829,67","","-0,20%"
"01.12.2023","12.894,96","12.851,27","12.894,96","12.722,26","","0,34%"
"30.11.2023","12.851,27","12.662,32","12.884,27","12.662,32","","1,49%"
"29.11.2023","12.662,31","12.632,57","12.766,28","12.610,18","","0,24%"
"28.11.2023","12.632,49","12.500,40","12.686,02","12.479,47","","1,06%"
"27.11.2023","12.500,40","12.472,66","12.559,88","12.428,52","","0,22%"
"24.11.2023","12.472,78","12.548,80","12.548,80","12.418,35","","-0,61%"
"23.11.2023","12.548,80","12.434,64","12.595,30","12.434,05","","0,92%"
"22.11.2023","12.434,64","12.308,13","12.528,96","12.307,70","","1,03%"
"21.11.2023","12.308,05","12.371,54","12.374,24","12.245,62","","-0,51%"
"20.11.2023","12.371,54","12.267,80","12.417,51","12.217,34","","0,85%"
"17.11.2023","12.267,84","12.332,73","12.370,27","12.267,84","","-0,53%"
"16.11.2023","12.332,73","12.139,37","12.344,59","12.139,37","","1,59%"
"14.11.2023","12.139,37","11.944,65","12.210,39","11.944,08","","1,63%"
"13.11.2023","11.944,33","12.095,30","12.095,30","11.899,77","","-1,25%"
"10.11.2023","12.095,44","11.918,78","12.121,59","11.865,75","","1,48%"
"09.11.2023","11.918,87","12.035,40","12.081,28","11.876,90","","-0,96%"
"08.11.2023","12.034,67","11.949,81","12.050,44","11.905,70","","0,71%"
"07.11.2023","11.949,88","11.710,30","11.995,32","11.662,37","","2,04%"
"06.11.2023","11.710,49","11.647,87","11.718,20","11.597,72","","0,54%"
"03.11.2023","11.647,38","11.192,99","11.679,15","11.192,99","","4,06%"
"01.11.2023","11.192,88","11.043,06","11.239,67","11.043,06","","1,36%"
"31.10.2023","11.043,08","11.088,02","11.131,37","11.001,65","","-0,41%"
"30.10.2023","11.088,07","11.203,06","11.278,86","11.062,47","","-1,03%"
"27.10.2023","11.203,05","11.452,19","11.484,08","11.157,63","","-2,17%"
"26.10.2023","11.451,51","11.229,89","11.475,34","11.229,11","","1,97%"
"25.10.2023","11.229,84","11.265,63","11.442,29","11.229,84","","-0,32%"
"24.10.2023","11.265,73","11.207,27","11.352,05","11.185,39","","0,53%"
"23.10.2023","11.206,11","11.141,04","11.293,82","11.086,57","","0,54%"
"20.10.2023","11.145,60","11.191,45","11.277,84","11.108,46","","-0,42%"
"19.10.2023","11.192,42","11.142,69","11.336,48","11.116,62","","0,45%"
"18.10.2023","11.142,69","11.279,31","11.282,14","11.116,44","","-1,22%"
"17.10.2023","11.280,41","11.479,75","11.479,75","11.249,05","","-1,74%"
"16.10.2023","11.479,76","11.383,81","11.528,62","11.383,81","","0,84%"
"13.10.2023","11.383,66","11.574,54","11.581,07","11.380,01","","-1,65%"
"11.10.2023","11.574,70","11.460,89","11.583,06","11.432,96","","0,99%"
"10.10.2023","11.460,87","11.372,37","11.537,57","11.372,37","","0,78%"
"09.10.2023","11.372,35","11.448,35","11.448,35","11.266,87","","-0,67%"
"06.10.2023","11.449,11","11.319,37","11.496,16","11.134,57","","1,14%"
"05.10.2023","11.320,20","11.281,25","11.438,58","11.212,15","","0,35%"
"04.10.2023","11.281,25","11.049,87","11.306,76","11.049,87","","2,09%"
"03.10.2023","11.049,81","11.237,61","11.237,80","11.026,02","","-1,67%"
"02.10.2023","11.238,00","11.366,17","11.381,28","11.182,60","","-1,13%"
"29.09.2023","11.366,16","11.356,09","11.432,59","11.290,96","","0,10%"
"28.09.2023","11.354,48","11.106,25","11.387,58","11.094,84","","2,23%"
"27.09.2023","11.106,31","11.133,26","11.270,80","11.020,81","","-0,24%"
"26.09.2023","11.133,26","11.304,18","11.304,18","11.130,02","","-1,51%"
"25.09.2023","11.304,34","11.299,58","11.362,52","11.293,43","","0,04%"
"22.09.2023","11.299,45","11.352,05","11.446,06","11.294,12","","-0,44%"
"21.09.2023","11.349,89","11.658,00","11.658,00","11.332,77","","-2,65%"
"20.09.2023","11.658,96","11.554,38","11.773,77","11.554,22","","0,90%"
"19.09.2023","11.554,51","11.652,74","11.671,59","11.515,24","","-0,84%"
"18.09.2023","11.652,74","11.692,53","11.755,42","11.629,55","","-0,34%"
"15.09.2023","11.692,51","11.751,44","11.776,61","11.674,17","","-0,50%"
"14.09.2023","11.751,68","11.708,75","11.796,56","11.673,33","","0,37%"
"13.09.2023","11.708,21","11.639,93","11.802,78","11.600,26","","0,59%"
"12.09.2023","11.639,93","11.521,43","11.669,48","11.510,50","","1,03%"
"11.09.2023","11.521,45","11.285,66","11.543,10","11.285,66","","2,09%"
"08.09.2023","11.285,60","11.298,32","11.362,75","11.224,68","","-0,11%"
"06.09.2023","11.298,49","11.437,68","11.470,90","11.293,86","","-1,22%"
"05.09.2023","11.437,68","11.601,05","11.604,27","11.434,47","","-1,41%"
"04.09.2023","11.601,56","11.645,63","11.704,44","11.587,75","","-0,38%"
"01.09.2023","11.645,63","11.574,73","11.725,93","11.574,73","","0,61%"
"31.08.2023","11.574,73","11.755,63","11.756,30","11.542,34","","-1,54%"
"30.08.2023","11.755,63","11.962,91","11.994,32","11.735,53","","-1,73%"
"29.08.2023","11.962,81","11.828,94","12.052,94","11.828,94","","1,13%"
"28.08.2023","11.828,89","11.592,48","11.869,92","11.574,99","","2,04%"
"25.08.2023","11.592,48","11.731,86","11.745,36","11.515,90","","-1,19%"
"24.08.2023","11.732,11","11.925,97","11.925,97","11.709,18","","-1,63%"
"23.08.2023","11.926,07","11.739,83","11.930,72","11.722,58","","1,59%"
"22.08.2023","11.739,83","11.554,42","11.760,94","11.549,89","","1,79%"
"21.08.2023","11.533,38","11.630,49","11.638,94","11.501,90","","-0,84%"
"18.08.2023","11.631,23","11.533,60","11.679,96","11.483,43","","0,85%"
"17.08.2023","11.533,60","11.684,71","11.731,75","11.515,58","","-1,29%"
"16.08.2023","11.684,64","11.742,75","11.892,80","11.667,60","","-0,50%"
"15.08.2023","11.742,88","11.820,44","11.862,57","11.705,65","","-0,66%"
"14.08.2023","11.820,71","11.892,19","11.892,74","11.775,93","","-0,60%"
"11.08.2023","11.892,19","11.894,40","11.977,50","11.809,97","","-0,02%"
"10.08.2023","11.894,70","11.860,74","12.009,00","11.852,69","","0,29%"
"09.08.2023","11.860,62","11.941,37","11.942,23","11.779,67","","-0,68%"
"08.08.2023","11.941,33","11.997,91","12.018,83","11.777,86","","-0,47%"
"07.08.2023","11.998,01","12.024,01","12.169,75","11.980,53","","-0,22%"
"04.08.2023","12.023,97","12.288,44","12.288,44","11.990,39","","-2,15%"
"03.08.2023","12.288,37","12.309,07","12.538,16","12.249,78","","-0,17%"
"02.08.2023","12.309,00","12.318,25","12.371,08","12.172,90","","-0,07%"
"01.08.2023","12.318,07","12.377,94","12.378,14","12.189,46","","-0,49%"
"31.07.2023","12.378,19","12.290,29","12.441,42","12.288,34","","0,73%"
"28.07.2023","12.288,75","12.159,99","12.294,61","12.155,63","","1,10%"
"27.07.2023","12.154,67","12.393,81","12.432,28","12.145,56","","-1,93%"
"26.07.2023","12.393,81","12.346,93","12.404,11","12.261,63","","0,39%"
"25.07.2023","12.345,46","12.375,08","12.482,41","12.322,15","","-0,24%"
"24.07.2023","12.375,08","12.550,41","12.596,14","12.312,77","","-1,40%"
"21.07.2023","12.550,66","12.265,80","12.578,27","12.265,80","","2,32%"
"20.07.2023","12.265,73","12.165,56","12.270,78","12.145,67","","0,82%"
"19.07.2023","12.165,53","12.268,90","12.283,02","12.117,52","","-0,84%"
"18.07.2023","12.268,65","12.294,40","12.355,11","12.231,80","","-0,21%"
"17.07.2023","12.294,47","12.123,49","12.294,73","12.052,47","","1,41%"
"14.07.2023","12.123,55","12.243,37","12.279,03","12.104,35","","-0,98%"
"13.07.2023","12.243,30","12.060,27","12.312,69","12.059,26","","1,53%"
"12.07.2023","12.058,47","12.086,29","12.227,95","12.036,48","","-0,23%"
"11.07.2023","12.086,05","12.194,26","12.194,26","11.883,91","","-0,89%"
"10.07.2023","12.194,21","12.306,43","12.307,50","12.159,94","","-0,90%"
"07.07.2023","12.305,40","12.109,47","12.391,11","12.109,42","","1,62%"
"06.07.2023","12.109,47","12.379,88","12.379,88","12.091,97","","-2,18%"
"05.07.2023","12.379,88","12.351,36","12.447,54","12.289,96","","0,23%"
"04.07.2023","12.351,38","12.446,69","12.446,69","12.319,78","","-0,77%"
"03.07.2023","12.446,87","12.223,88","12.465,42","12.223,88","","1,83%"
"30.06.2023","12.223,63","12.195,94","12.374,15","12.195,94","","0,23%"
"29.06.2023","12.195,46","11.977,42","12.227,48","11.965,88","","1,82%"
"28.06.2023","11.977,54","12.062,84","12.078,83","11.946,72","","-0,68%"
"27.06.2023","12.060,01","12.129,99","12.220,72","11.922,79","","-0,58%"
"26.06.2023","12.130,25","12.213,18","12.258,08","12.005,74","","-0,68%"
"23.06.2023","12.213,42","12.199,32","12.232,21","12.124,19","","0,12%"
"22.06.2023","12.199,32","12.431,69","12.431,69","12.125,20","","-1,87%"
"21.06.2023","12.431,77","12.333,47","12.468,81","12.306,64","","0,80%"
"20.06.2023","12.333,18","12.308,41","12.340,14","12.195,00","","0,20%"
"19.06.2023","12.308,16","12.141,96","12.313,10","12.141,96","","1,37%"
"16.06.2023","12.141,96","12.127,59","12.199,10","12.046,41","","0,07%"
"15.06.2023","12.132,87","12.100,66","12.200,42","12.050,27","","0,27%"
"14.06.2023","12.100,60","11.944,23","12.103,46","11.934,98","","1,31%"
"13.06.2023","11.944,23","11.992,26","12.032,62","11.887,13","","-0,40%"
"12.06.2023","11.992,19","11.947,15","12.085,16","11.946,65","","0,38%"
"09.06.2023","11.947,21","11.768,69","11.974,14","11.768,69","","1,52%"
"07.06.2023","11.768,69","11.680,99","11.818,54","11.660,24","","0,75%"
"06.06.2023","11.680,99","11.603,67","11.725,10","11.603,15","","0,67%"
"05.06.2023","11.603,59","11.538,18","11.647,66","11.441,09","","0,57%"
"02.06.2023","11.537,69","11.345,65","11.556,76","11.345,65","","1,69%"
"01.06.2023","11.345,53","11.088,63","11.369,00","11.088,63","","2,32%"
"31.05.2023","11.088,63","11.182,80","11.206,66","11.084,17","","-0,84%"
"30.05.2023","11.182,80","11.327,57","11.440,49","11.137,09","","-1,27%"
"29.05.2023","11.326,72","11.343,94","11.359,61","11.259,16","","-0,15%"
"26.05.2023","11.343,87","11.304,13","11.508,74","11.243,58","","0,36%"
"25.05.2023","11.302,77","11.054,22","11.364,24","11.054,22","","2,25%"
"24.05.2023","11.054,21","11.180,52","11.180,52","10.991,59","","-1,13%"
"23.05.2023","11.180,05","11.130,31","11.318,60","11.100,13","","0,45%"
"22.05.2023","11.130,32","11.264,05","11.399,78","11.117,11","","-1,19%"
"19.05.2023","11.263,88","11.197,83","11.306,51","11.090,87","","0,59%"
"18.05.2023","11.197,73","11.181,16","11.214,00","11.088,79","","0,15%"
"17.05.2023","11.181,16","11.056,99","11.220,79","11.056,52","","1,12%"
"16.05.2023","11.056,94","11.164,83","11.236,78","11.031,26","","-0,97%"
"15.05.2023","11.165,01","11.112,58","11.188,12","11.074,46","","0,47%"
"12.05.2023","11.112,58","11.135,99","11.199,41","11.050,86","","-0,21%"
"11.05.2023","11.135,86","10.986,28","11.185,12","10.895,41","","1,37%"
"10.05.2023","10.985,11","10.901,74","11.008,11","10.827,22","","0,76%"
"09.05.2023","10.901,74","10.859,83","11.010,19","10.806,10","","0,38%"
"08.05.2023","10.860,47","10.746,84","10.939,26","10.746,70","","1,06%"
"05.05.2023","10.746,54","10.366,24","10.782,31","10.366,24","","3,67%"
"04.05.2023","10.366,15","10.210,09","10.449,55","10.183,40","","1,53%"
"03.05.2023","10.210,06","10.191,93","10.264,99","10.124,29","","0,18%"
"02.05.2023","10.192,06","10.460,71","10.461,82","10.153,10","","-2,57%"
"28.04.2023","10.460,72","10.370,92","10.486,73","10.289,92","","0,87%"
"27.04.2023","10.370,92","10.227,86","10.379,78","10.227,55","","1,40%"
"26.04.2023","10.227,72","10.388,13","10.395,90","10.221,09","","-1,54%"
"25.04.2023","10.388,05","10.321,26","10.396,57","10.260,05","","0,65%"
"24.04.2023","10.321,18","10.353,10","10.460,35","10.250,22","","-0,31%"
"20.04.2023","10.353,10","10.293,58","10.353,10","10.210,87","","0,58%"
"19.04.2023","10.292,93","10.467,10","10.467,47","10.275,23","","-1,66%"
"18.04.2023","10.467,10","10.490,75","10.537,04","10.352,48","","-0,23%"
"17.04.2023","10.490,72","10.505,73","10.532,67","10.420,33","","-0,14%"
"14.04.2023","10.505,73","10.403,94","10.533,24","10.305,07","","0,98%"
"13.04.2023","10.404,04","10.423,97","10.456,44","10.318,82","","-0,19%"
"12.04.2023","10.423,82","10.231,92","10.588,78","10.231,92","","1,88%"
"11.04.2023","10.231,66","9.822,71","10.245,32","9.822,71","","4,17%"
"10.04.2023","9.822,52","9.722,73","9.857,65","9.722,31","","1,03%"
"06.04.2023","9.722,73","9.751,66","9.821,33","9.666,71","","-0,30%"
"05.04.2023","9.751,73","9.755,64","9.820,25","9.649,62","","-0,04%"
"04.04.2023","9.755,64","9.569,90","9.799,10","9.569,90","","1,94%"
"03.04.2023","9.569,84","9.697,63","9.698,80","9.487,83","","-1,31%"
"31.03.2023","9.697,20","9.776,80","9.817,34","9.595,94","","-0,81%"
"30.03.2023","9.776,74","9.553,38","9.853,58","9.553,38","","2,34%"
"29.03.2023","9.553,18","9.528,76","9.592,97","9.370,88","","0,26%"
"28.03.2023","9.528,52","9.479,07","9.576,48","9.425,42","","0,52%"
"27.03.2023","9.479,07","9.396,29","9.549,29","9.396,29","","0,88%"
"24.03.2023","9.396,23","9.275,88","9.469,22","9.242,61","","1,30%"
